generation,MeanFitness,MaxFitness,moastery_score,grass_penalty,min_figure_count,grass_score,tile_type_score,tile_open_score,tile_close_score
135,-21.9375,-15,1,1224,14,232,2719,750,4488
136,-21.625,-15,1,1296,14,231,2780,901,4790
137,-21.625,-15,1,1296,14,231,2780,901,4790
138,-21.25,-15,1,1330,14,234,2786,967,5288
139,-21.25,-15,1,1330,14,234,2786,967,5288
140,-20.625,-15,1,1315,14,277,2989,779,6137
141,-20.40625,-15,1,1315,14,282,3179,779,6556
142,-20.0625,-15,1,1233,14,305,3089,752,6713
143,-19.59375,-10,1,1443,14,316,3277,787,6935
144,-19.59375,-10,1,1443,14,316,3277,787,6935
145,-19.4375,-10,1,1438,14,322,3335,853,6910
146,-19.28125,-10,1,1438,14,322,3472,831,6930
147,-19.28125,-10,1,1438,14,322,3472,831,6930
148,-19,-10,1,1490,14,327,3754,896,7456
149,-19,-10,1,1490,14,327,3754,896,7456
150,-18.53125,-10,1,1607,14,334,4028,1037,7428
151,-18.375,-10,1,1607,14,334,4067,1115,7428
152,-18.375,-10,1,1607,14,334,4067,1115,7428
153,-18.375,-10,1,1607,14,334,4067,1115,7428
154,-18.0625,-10,1,1548,13,332,4186,1132,7698
155,-17.28125,-10,1,1526,13,342,4284,1178,7889
156,-16.84375,-10,2,1749,13,322,4633,1214,7859
157,-16.84375,-10,2,1749,13,322,4633,1214,7859
158,-16.40625,-10,2,1959,5,358,5093,1328,8166
159,-16.25,-10,2,1959,5,378,5093,1328,8395
160,-16.25,-10,2,1959,5,378,5093,1328,8395
161,-16.25,-10,2,1959,5,378,5093,1328,8395
162,-16.25,-10,2,1959,5,378,5093,1328,8395
163,-16.09375,-10,2,1992,5,382,5128,1328,8395
164,-15.78125,-10,2,2065,5,389,5414,1418,8353
165,-15.78125,-10,2,2065,5,389,5414,1418,8353
166,-15.15625,-10,2,2032,5,378,5768,1597,8575
167,-14.53125,-10,2,1933,5,367,6200,1806,8509
168,-14.375,-10,2,1933,5,368,6200,1693,8551
169,-13.90625,-10,2,1904,5,374,6426,1775,8550
170,-13.90625,-10,2,1904,5,374,6426,1775,8550
171,-13.75,-10,2,2008,4,374,6508,1775,8550
172,-13.75,-10,2,2008,4,374,6508,1775,8550
173,-13.28125,-10,2,2024,4,376,6740,1696,8543
174,-12.6875,-10,2,2130,4,402,6898,1626,8639
175,-12.25,-10,2,2111,3,404,7294,1626,8904
176,-12.09375,-10,2,2141,3,404,7385,1707,8878
177,-11.8125,-10,2,2141,3,408,7581,1737,8800
178,-11.8125,-10,2,2141,3,408,7581,1737,8800
179,-11.78125,-10,2,2141,3,421,7539,1831,8800
180,-11.53125,-10,2,2141,3,421,7865,1831,9206
181,-11.5,-10,2,2141,3,431,7865,1838,9193
182,-10.71875,-10,2,2375,3,450,8412,1886,9439
183,-10.5,-10,2,2439,3,470,8387,1908,9458
184,-10.46875,-10,2,2290,2,480,8388,1962,9443
185,-10.3125,-10,2,2257,2,468,8441,1983,9456
186,-10.15625,-10,2,2257,2,468,8477,1983,9482
187,-10.15625,-10,2,2257,2,468,8477,1983,9482
188,-10.15625,-10,2,2257,2,468,8477,1983,9482
189,-10.15625,-10,2,2257,2,468,8477,1983,9482
190,-10.15625,-10,2,2257,2,468,8477,1983,9482
191,-10,-10,2,2386,2,473,8516,1986,9482
192,-10,-10,2,2386,2,473,8516,1986,9482
193,-10,-10,2,2386,2,473,8516,1986,9482
194,-10,-10,2,2386,2,473,8516,1986,9482
195,-10,-10,2,2386,2,473,8516,1986,9482
196,-10,-10,2,2386,2,473,8516,1986,9482
197,-10,-10,2,2386,2,473,8516,1986,9482
198,-10,-10,2,2386,2,473,8516,1986,9482
199,-10,-10,2,2386,2,473,8516,1986,9482
200,-10,-10,2,2386,2,473,8516,1986,9482
201,-10,-10,2,2386,2,473,8516,1986,9482
202,-10,-10,2,2386,2,473,8516,1986,9482
203,-10,-10,2,2386,2,473,8516,1986,9482
204,-10,-10,2,2386,2,473,8516,1986,9482
205,-10,-10,2,2386,2,473,8516,1986,9482
206,-10,-10,2,2386,2,473,8516,1986,9482
207,-10,-10,2,2386,2,473,8516,1986,9482
208,-10,-10,2,2386,2,473,8516,1986,9482
209,-10,-10,2,2386,2,473,8516,1986,9482
210,-10,-10,2,2386,2,473,8516,1986,9482
211,-10,-10,2,2386,2,473,8516,1986,9482
212,-10,-10,2,2386,2,473,8516,1986,9482
213,-10,-10,2,2386,2,473,8516,1986,9482
214,-10,-10,2,2386,2,473,8516,1986,9482
215,-10,-10,2,2386,2,473,8516,1986,9482
216,-10,-10,2,2386,2,473,8516,1986,9482
217,-10,-10,2,2386,2,473,8516,1986,9482
218,-10,-10,2,2386,2,473,8516,1986,9482
219,-10,-10,2,2386,2,473,8516,1986,9482
220,-10,-10,2,2386,2,473,8516,1986,9482
221,-10,-10,2,2386,2,473,8516,1986,9482
222,-10,-10,2,2386,2,473,8516,1986,9482
223,-10,-10,2,2386,2,473,8516,1986,9482
224,-10,-10,2,2386,2,473,8516,1986,9482
225,-10,-10,2,2386,2,473,8516,1986,9482
226,-10,-10,2,2386,2,473,8516,1986,9482
227,-10,-10,2,2386,2,473,8516,1986,9482
228,-10,-10,2,2386,2,473,8516,1986,9482
229,-10,-10,2,2386,2,473,8516,1986,9482
230,-10,-10,2,2386,2,473,8516,1986,9482
231,-10,-10,2,2386,2,473,8516,1986,9482
232,-10,-10,2,2386,2,473,8516,1986,9482
233,-10,-10,2,2386,2,473,8516,1986,9482
234,-10,-10,2,2386,2,473,8516,1986,9482
235,-10,-10,2,2386,2,473,8516,1986,9482
236,-10,-10,2,2386,2,473,8516,1986,9482
237,-10,-10,2,2386,2,473,8516,1986,9482
238,-10,-10,2,2386,2,473,8516,1986,9482
239,-10,-10,2,2386,2,473,8516,1986,9482
240,-68.09375,-49,0,-2408,112,-692,-5376,-954,-7957
241,-64.71875,-48,0,-1456,97,-509,-4557,-1056,-4419
242,-60.40625,-6,0,-689,81,-388,-3268,-945,-3064
243,-58.53125,-6,0,-568,81,-388,-3518,-857,-2034
244,-55.5,-6,0,-566,81,-366,-2805,-653,-1665
245,-52.4375,-6,1,203,73,-274,-1843,78,-312
246,-46.3125,-6,1,449,66,-274,-637,877,764
247,-45.53125,-6,1,723,58,-197,223,949,1629
248,-43.6875,-6,2,1273,58,-156,1434,1391,2428
249,-42.3125,-6,2,1887,58,-156,2402,1799,3695
250,-41.90625,-6,2,1969,58,-150,2140,1867,3364
251,-40.28125,-6,2,1949,50,-103,2337,1967,3227
252,-39.1875,-6,2,1977,50,-92,3057,1995,3936
253,-38.5625,-6,2,1713,51,-92,3365,1908,3997
254,-38.5625,-6,2,1713,51,-92,3365,1908,3997
255,-38.34375,-6,2,1880,51,-100,3658,1908,4254
256,-38.34375,-6,2,1880,51,-100,3658,1908,4254
257,-38.34375,-6,2,1880,51,-100,3658,1908,4254
258,-38.34375,-6,2,1880,51,-100,3658,1908,4254
259,-38.34375,-6,2,1880,51,-100,3658,1908,4254
260,-38.34375,-6,2,1880,51,-100,3658,1908,4254
261,-38.34375,-6,2,1880,51,-100,3658,1908,4254
262,-38.0625,-6,2,2028,43,-100,4377,2083,5224
263,-38.0625,-6,2,2028,43,-100,4377,2083,5224
264,-37.65625,-6,2,1862,43,-100,4209,2083,5043
265,-37.65625,-6,2,1862,43,-100,4209,2083,5043
266,-37.65625,-6,2,1862,43,-100,4209,2083,5043
267,-37.65625,-6,2,1862,43,-100,4209,2083,5043
268,-37.46875,-6,2,1551,43,-100,4174,2083,5043
