switching_players_count,MeanFitness,moastery_score,grass_penalty,min_figure_count,grass_score,tile_type_score,tile_open_score,tile_close_score
113,1.65625,5464,11898,2,7139201,6165,7046,6955
114,-3.15625,5026,12252,2,5769974,7729,4849,6347
115,6.21875,4475,10161,2,7112848,5827,7217,4123
116,4.625,6738,10076,2,11050824,6252,6526,7203
117,3.53125,4620,7880,2,17399389,6421,6736,6267
118,-11.28125,6849,8273,2,21744413,7263,8292,6557
119,-4.59375,6285,9027,2,31586537,5251,6249,7982
120,-11.21875,4697,5587,3,35947608,7790,5765,7926
121,-8.84375,5128,7708,2,37118611,7368,4808,7536
122,-10.4375,7507,5935,2,33334028,9600,5664,6105
123,-10.90625,1981,6790,2,33253032,9389,5489,5300
124,-14,5931,7381,2,38884574,9504,6477,5990
125,-7.375,6291,7769,3,47888714,9012,4713,7432
126,-13.4375,5119,8757,4,26970706,9024,5257,5608
127,-12.375,7809,8384,2,20566414,10201,3771,6202
128,2.875,6781,9487,2,22657109,7482,5009,5644
129,-12.65625,8977,9853,2,24605264,9275,7661,7541
130,-4.625,5420,8216,2,24276918,5010,5011,5670
131,-11.9375,4319,7305,2,24881701,9276,6987,7217
132,-2.21875,4774,7793,2,29180392,5583,6073,5362
133,-8.0625,3843,6515,2,35895953,9916,4963,7432
134,-9.8125,5074,6328,2,30172902,6376,6124,6073
135,-6.40625,6849,5649,2,44547490,8853,3919,7691
136,-6.75,2231,8093,4,24199300,9130,5163,3852
137,-10.5625,6878,9971,3,21655531,9531,5069,6607
138,-1.1875,3400,9912,2,22983311,6753,3492,5235
139,-10,6318,11464,2,34583657,8976,5853,7364
140,-5.5,4684,7219,3,33254511,8722,4185,2458
141,-10.09375,2755,8052,3,24320802,9054,5070,5845
142,-12.84375,5339,8736,2,15157470,6682,6203,5840
143,2.8125,1973,6958,2,23377354,4669,5871,8132
144,-7.5625,5040,9352,2,24094499,8287,6263,7288
145,5.65625,3738,10232,2,30793622,4566,4698,6092
146,-8.875,2408,10316,3,13867170,9186,5331,3920
147,-0.1875,3835,8661,2,17871947,6499,4502,8469
148,-2.53125,5678,9279,2,19783564,5334,5626,7074
149,-7.6875,3022,7159,3,25005935,9269,4082,7950
150,-11.15625,7298,6763,2,22371573,7376,5826,7009
151,-8.21875,6643,7094,2,27093786,7999,6573,4745
152,-12.71875,5529,5953,2,23091405,9035,6364,6400
153,-7.1875,6007,5607,2,29103044,5874,6906,5168
154,-4,6550,8570,2,36649872,8515,4278,7747
155,-9.59375,5091,8552,2,27365211,8289,6428,6795
156,-4.78125,6831,9963,2,26979940,4470,6550,7357
157,-7.21875,6497,9806,2,33656566,9074,5409,7447
158,3.4375,3805,9107,2,48531225,3535,7367,6071
159,-9.96875,2446,8233,3,15544713,8905,3783,6013
160,-1.6875,5868,9736,2,17658668,7185,5117,6726
161,-7.28125,6239,6740,2,19802615,6729,6863,8175
162,-12.1875,5758,6569,2,18897352,4576,4696,7999
163,-2.4375,3693,8273,2,29738865,8179,4993,8912
164,-10,4661,6938,2,26199673,6512,5373,5214
165,-15.53125,7533,9643,2,20882405,9467,4535,5051
166,-2.09375,5674,10180,2,32479951,8301,6919,5462
167,-14.46875,6629,9696,3,25782963,9885,6032,5431
168,1.4375,5636,9902,2,33374311,7650,5241,7730
169,-14.6875,7493,8349,2,23055814,9430,5356,6752
170,-11.375,3482,7554,2,14462674,8480,5507,5547
171,-3.84375,6350,9493,2,14469285,7257,5763,5862
172,-3.6875,5359,8574,2,19253869,4637,6617,7533
173,-7.4375,4214,4418,2,23267541,7456,6446,9201
174,0.21875,3047,8317,2,31433045,3832,6559,7904
175,-8.34375,4329,5213,3,29298681,7826,6886,8383
176,-8.125,7121,8588,2,29525625,9119,8080,4319
177,-13.46875,8877,10159,2,30921261,10656,4647,4984
178,-12.9375,3655,10519,4,23397602,7995,6241,4807
179,-12.71875,7128,9437,3,23096559,9301,5433,6502
180,-0.4375,1347,11257,2,18385323,7725,6446,3959
181,-14.90625,4050,10534,3,20939230,8307,5684,6840
182,-6.875,5565,11049,2,18628958,7140,7806,5696
183,-1.125,5477,9533,2,24970562,5694,4942,7557
184,-10.90625,5360,8657,2,25436721,9113,6031,7188
185,4.3125,2749,8174,3,39663429,3769,5000,3778
186,-8.875,1892,10586,2,29930384,5219,5848,6700
187,-10.71875,7411,9838,2,37165346,8084,6295,6366
188,-11.03125,4924,10225,3,33982621,10080,6154,6075
189,-3.84375,8110,7689,2,35900045,7061,6395,7571
190,-8.8125,7224,7986,2,37069956,8829,5318,8192
191,-5.6875,2958,9117,3,36906722,9775,4696,5608
192,-6.96875,3678,10882,2,33409833,7894,4116,4685
193,-8.15625,4968,8893,2,51423946,6528,6971,7079
194,-8.53125,4882,7627,3,30168644,8257,6518,7553
195,-0.96875,3893,9342,2,27969576,6441,5255,4033
196,-3.09375,9687,10000,3,2264373,9855,4831,9740
197,-3.15625,7829,8524,2,1543378,4174,4304,8352
198,-3.6875,5305,10084,2,1875975,7619,6141,6250
199,-9.375,7560,10499,2,1506608,8415,6819,7877
